Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain
23.72,89.59,7.34,50.50,1032.38,rain
27.88,46.49,5.95,4.99,992.61,no rain
25.07,83.07,1.37,14.86,1007.23,no rain
23.62,74.37,7.05,67.26,982.63,rain
20.59,96.86,4.64,47.68,980.83,no rain
26.15,48.22,15.26,59.77,1049.74,no rain
20.94,40.80,2.23,45.83,1014.17,no rain
32.29,51.85,2.87,92.55,1006.04,no rain
34.09,48.06,5.57,82.52,993.73,no rain
19.59,82.98,5.76,98.01,1036.50,rain
29.79,81.32,16.93,93.92,1029.40,no rain
23.22,76.88,15.83,72.87,980.11,rain
24.20,45.15,11.57,5.25,1033.99,no rain
33.14,90.33,5.77,99.91,987.80,no rain
11.78,96.96,6.38,47.33,1046.40,no rain
12.18,67.21,11.84,6.10,1003.29,no rain
10.51,75.46,14.80,99.14,1011.58,rain
30.82,65.05,7.68,57.04,980.35,no rain
29.45,49.85,10.19,45.90,1037.71,no rain
31.75,50.03,17.76,1.98,1001.57,no rain
34.47,51.94,13.00,42.84,1018.95,no rain
29.98,43.36,10.71,18.33,1044.86,no rain
21.54,93.13,1.42,71.89,990.94,rain
29.51,90.09,3.52,0.79,1040.71,no rain
12.96,62.31,4.02,53.30,1015.02,no rain
26.00,55.71,12.46,4.37,1044.71,no rain
13.58,95.74,2.16,71.48,1037.56,rain
33.62,45.57,0.58,95.30,1011.01,no rain
23.05,68.75,7.21,4.33,986.21,no rain
20.37,33.81,14.38,10.31,982.11,no rain
16.61,43.38,13.86,51.56,1041.20,no rain
29.36,72.28,15.85,98.25,1013.20,no rain
21.40,76.35,13.92,41.15,1026.46,no rain
24.21,70.67,12.27,61.56,1041.72,rain
10.47,90.87,9.72,76.17,1001.33,rain
25.44,99.54,4.17,92.79,1042.70,no rain
25.30,83.47,11.37,17.70,981.93,no rain
25.42,62.56,12.73,91.14,999.59,no rain
33.59,88.38,2.47,62.64,1036.82,no rain
27.05,38.43,11.30,80.56,1039.73,no rain
18.99,77.83,1.95,29.56,1046.14,no rain
20.93,66.28,10.94,50.01,1001.21,no rain
27.44,42.46,3.18,20.90,1034.62,no rain
11.51,98.11,2.38,85.46,1048.96,rain
26.67,53.69,2.26,20.46,1016.89,no rain
26.77,73.08,18.22,54.83,997.68,no rain
15.26,91.50,11.96,41.79,982.73,no rain
13.22,65.47,5.00,4.96,1033.18,no rain
17.89,38.06,1.43,41.21,989.72,no rain
19.09,87.31,10.72,78.44,1007.09,rain
24.25,54.72,2.90,52.89,1001.65,no rain
20.97,98.81,15.57,30.48,1009.18,no rain
34.71,91.87,9.92,44.54,1043.42,no rain
12.55,89.74,14.53,77.43,1009.82,rain
15.22,54.94,7.91,66.82,1043.89,no rain
14.03,83.00,14.05,11.09,1036.38,no rain
26.33,99.04,13.69,53.12,1000.19,no rain
16.33,66.84,11.23,19.87,1002.27,no rain
21.66,62.95,16.91,97.84,1005.89,no rain
16.11,31.03,11.65,73.86,1022.40,no rain
13.97,79.01,11.56,8.10,1027.18,no rain
12.76,90.09,6.16,24.82,1048.06,no rain
26.41,47.32,18.63,7.81,1044.86,no rain
13.45,52.05,10.34,37.01,1022.83,no rain
14.91,65.05,7.83,82.27,983.24,no rain
19.22,35.05,10.83,6.68,1018.17,no rain
30.52,36.27,2.90,16.54,1008.25,no rain
12.43,59.48,5.30,26.74,1018.13,no rain
30.95,48.29,6.13,62.41,982.81,no rain
12.40,58.42,10.30,97.47,1049.70,no rain
34.41,61.81,13.91,82.27,983.99,no rain
21.72,98.34,5.74,20.09,999.09,no rain
34.42,96.10,2.72,71.01,985.05,no rain
25.12,39.78,11.18,55.64,1018.33,no rain
28.48,91.78,17.09,49.16,1004.63,no rain
10.98,35.61,8.36,90.84,1006.27,no rain
17.07,65.53,9.52,58.81,1035.24,no rain
13.00,41.47,5.78,13.72,1043.28,no rain
17.40,55.61,16.18,16.50,991.60,no rain
12.97,82.03,2.41,92.20,999.53,rain
17.95,59.72,3.42,8.02,1013.09,no rain
20.36,86.49,20.00,13.79,987.90,no rain
11.60,80.32,13.64,65.31,1007.06,rain
27.31,96.00,10.96,22.43,1001.15,no rain
24.17,67.39,15.90,82.61,1044.54,no rain
16.63,86.15,19.94,41.60,993.90,no rain
23.08,52.60,3.82,48.24,1030.48,no rain
12.35,54.20,15.83,12.86,995.11,no rain
24.40,58.04,6.84,2.82,1023.80,no rain
33.23,58.76,14.62,75.92,1020.74,no rain
17.96,37.23,14.15,7.40,1012.11,no rain
26.69,66.34,19.97,64.02,1037.18,no rain
13.29,36.78,2.24,53.75,995.59,no rain
27.91,92.28,0.04,51.85,1013.41,no rain
17.24,34.33,14.96,29.97,1048.77,no rain
14.58,61.48,11.38,75.60,992.83,no rain
24.66,49.93,13.82,40.06,1018.18,no rain
10.50,40.84,15.07,15.13,1000.52,no rain
30.72,84.87,9.87,5.60,988.67,no rain
10.12,80.05,7.13,34.25,1039.61,no rain
26.95,40.22,15.41,60.81,1020.44,no rain
16.75,74.29,7.60,22.03,1020.52,no rain
28.38,85.48,12.44,74.22,1018.17,no rain
34.05,84.13,17.87,10.87,992.91,no rain
16.22,36.46,3.17,47.20,1019.80,no rain
